v,joint,abs_vel_p95_rad_s,abs_vel_p99_rad_s,abs_vel_max_rad_s,abs_acc_max_rad_s2,fraction_over_rated_vel,tracking_error_p95_rad
1,L1,0.600786030292511,0.7659819245338445,0.8052194714546204,47.46700823307037,0.0,0.010064899921417236
1,L2,1.342532992362976,1.6540737748146057,1.6628693342208862,51.63932777941227,0.0,0.024629950523376465
1,L3,1.1408032774925232,1.4204703450202942,1.4285424947738647,83.51454325020313,0.0,0.0112571120262146
1,L4,0.665199488401413,0.8437683165073395,0.850565493106842,150.27915919199586,0.0,0.02014225721359253
1,L5,0.023580189794301987,0.02766666114330292,0.07955510169267654,20.290061715058982,0.0,0.0073795439675450325
1,L6,1.1390033960342407,1.8653832435607918,1.915364146232605,479.2607202543877,0.0,0.011308260262012482
1,R1,1.7474176274845377e-05,2.2836488460598053e-05,2.3085014618118294e-05,0.00017763352389010834,0.0,5.118757542277308e-07
1,R2,4.155785518378252e-06,6.682265347990331e-06,9.888363820209634e-06,4.4430862544686534e-05,0.0,3.523179998410342e-06
1,R3,6.721577847201843e-06,1.4139061750029287e-05,2.429353480692953e-05,8.742517820792273e-05,0.0,9.063523066288326e-06
1,R4,4.180704308964778e-06,5.467196160680037e-06,6.129591383796651e-06,2.734134341153549e-05,0.0,7.235626142687579e-08
1,R5,0.00015851611533435062,0.00023182280128821752,0.0002526569878682494,0.0006748975351911213,0.0,3.421711426199181e-06
1,R6,6.508318983833306e-05,8.011602185433737e-05,8.81738233147189e-05,0.0004021712811663747,0.0,1.289521094349766e-06
4,L1,2.066223621368408,2.7451190710067803,2.834287405014038,70.4074501991272,0.0,0.131297767162323
4,L2,5.348819017410278,6.76094331741333,6.765974998474121,503.5516247153282,0.054005400540054004,0.02267742156982422
4,L3,4.7312586307525635,5.976960802078247,5.992503643035889,518.0389881134033,0.0351035103510351,0.03395974636077881
4,L4,2.9772199392318726,3.810266661643982,3.8411266803741455,701.0881018359214,0.0,0.03940260410308838
4,L5,0.03501419723033905,0.05519975200295452,0.12210245430469513,29.74946133326739,0.0,0.0036916278768330812
4,L6,5.420484781265259,7.670872449874878,7.766415596008301,1077.0746965426952,0.052205220522052204,0.09661459922790527
4,R1,2.267319905513432e-05,2.30576035392005e-05,2.3085014618118294e-05,0.00017763352389010834,0.0,5.9393258311502e-07
4,R2,6.482658591266954e-06,8.512494150636496e-06,9.888363820209634e-06,4.4430862544686534e-05,0.0,3.5035413930017967e-06
4,R3,1.1908653959835647e-05,2.1129540618858322e-05,2.429353480692953e-05,8.742517820792273e-05,0.0,9.06415652934811e-06
4,R4,5.2903726555086905e-06,5.952955370958081e-06,6.129591383796651e-06,2.734134341153549e-05,0.0,1.0065691924410203e-07
4,R5,0.0002258738677483052,0.00024725342227611697,0.0002526569878682494,0.0006748975351911213,0.0,4.330923275119858e-06
4,R6,7.77512505010236e-05,8.61072519910522e-05,8.81738233147189e-05,0.0004021712811663747,0.0,1.468720483899233e-06
