step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
1,0.004000,2.64150844e-06,-9.8592609e-06,2.43007962e-05,-4.25335975e-06,-1.59190131e-05,7.23649937e-05,2.63684774e-06,-9.88836382e-06,2.42935348e-05,-4.25453845e-06,-1.59208776e-05,7.23648191e-05
2,0.008000,2.61112837e-06,-9.71597547e-06,2.39339097e-05,-4.25984535e-06,-1.59136853e-05,7.2357856e-05,2.59562466e-06,-9.71064037e-06,2.39438341e-05,-4.25982671e-06,-1.5915115e-05,7.23579142e-05
3,0.012000,2.57822057e-06,-9.56137046e-06,2.36166816e-05,-4.25835015e-06,-1.59087904e-05,7.23494813e-05,2.61458899e-06,-9.57084376e-06,2.36187534e-05,-4.25966255e-06,-1.59136816e-05,7.23504418e-05
4,0.016000,2.60487059e-06,-9.43250598e-06,2.33153714e-05,-4.25794542e-06,-1.59044539e-05,7.23426128e-05,2.57674674e-06,-9.44384192e-06,2.33088849e-05,-4.25896042e-06,-1.59110168e-05,7.23427729e-05
5,0.020000,2.59185754e-06,-9.32444073e-06,2.3018456e-05,-4.25601957e-06,-1.58983348e-05,7.23356279e-05,2.61514515e-06,-9.305204e-06,2.30400256e-05,-4.25874077e-06,-1.59054653e-05,7.23358971e-05
6,0.024000,2.58215073e-06,-9.17279976e-06,2.27537275e-05,-4.26179759e-06,-1.58962757e-05,7.23287958e-05,2.65922108e-06,-9.2064638e-06,2.27333458e-05,-4.26387851e-06,-1.59003703e-05,7.23280245e-05
7,0.028000,2.6187206e-06,-9.07492813e-06,2.24686737e-05,-4.25843245e-06,-1.58949424e-05,7.23228295e-05,2.56843759e-06,-9.07866161e-06,2.24783817e-05,-4.25546978e-06,-1.58942676e-05,7.23225894e-05
8,0.032000,2.59725903e-06,-8.93949345e-06,2.22159561e-05,-4.26241013e-06,-1.58875009e-05,7.23161502e-05,2.62067033e-06,-8.9524583e-06,2.21909631e-05,-4.25839153e-06,-1.58892472e-05,7.2314564e-05
9,0.036000,2.6042303e-06,-8.82951645e-06,2.19532194e-05,-4.26059205e-06,-1.58850798e-05,7.23095727e-05,2.52493965e-06,-8.82968379e-06,2.19258745e-05,-4.26202314e-06,-1.58847579e-05,7.23089834e-05
10,0.040000,2.60754859e-06,-8.74928446e-06,2.16723711e-05,-4.26383167e-06,-1.58821003e-05,7.23032426e-05,2.63922288e-06,-8.74563193e-06,2.16647459e-05,-4.2621773e-06,-1.58874282e-05,7.23037083e-05
11,0.044000,2.60425168e-06,-8.62125489e-06,2.14192423e-05,-4.26353154e-06,-1.58788826e-05,7.22976838e-05,2.62622689e-06,-8.6163509e-06,2.14213542e-05,-4.26206543e-06,-1.58790244e-05,7.22974728e-05
12,0.048000,2.57854185e-06,-8.52426274e-06,2.11497518e-05,-4.26023689e-06,-1.58765797e-05,7.22914774e-05,2.60255797e-06,-8.52358698e-06,2.11537354e-05,-4.26141696e-06,-1.58749772e-05,7.22912228e-05
13,0.052000,2.60676234e-06,-8.38264805e-06,2.08875572e-05,-4.26409588e-06,-1.58702987e-05,7.2285533e-05,2.60895263e-06,-8.41265864e-06,2.09117879e-05,-4.26096722e-06,-1.58674829e-05,7.22856421e-05
14,0.056000,2.61438277e-06,-8.28696193e-06,2.0638643e-05,-4.26344377e-06,-1.58681323e-05,7.22798723e-05,2.59554781e-06,-8.30507452e-06,2.06617915e-05,-4.2609945e-06,-1.58674393e-05,7.22802506e-05
15,0.060000,2.57756028e-06,-8.16442571e-06,2.03994114e-05,-4.26416318e-06,-1.5865342e-05,7.22741315e-05,2.57932993e-06,-8.19700563e-06,2.03999261e-05,-4.25824646e-06,-1.58653093e-05,7.22744735e-05
16,0.064000,2.58025602e-06,-8.06026856e-06,2.01435669e-05,-4.26686393e-06,-1.58599469e-05,7.2268951e-05,2.55667169e-06,-8.07398919e-06,2.01575422e-05,-4.26592987e-06,-1.58596013e-05,7.22694167e-05
17,0.068000,2.57707165e-06,-7.95154392e-06,1.99044007e-05,-4.2652382e-06,-1.58518324e-05,7.22637415e-05,2.57938177e-06,-7.96732274e-06,1.99156038e-05,-4.25961343e-06,-1.58545372e-05,7.22641198e-05
18,0.072000,2.5732993e-06,-7.8514513e-06,1.96661967e-05,-4.26550559e-06,-1.58538478e-05,7.22586556e-05,2.58562272e-06,-7.86612873e-06,1.96698293e-05,-4.26024008e-06,-1.58535313e-05,7.22588229e-05
19,0.076000,2.58994646e-06,-7.7485638e-06,1.94338081e-05,-4.26825318e-06,-1.58523508e-05,7.22540499e-05,2.5870188e-06,-7.76320485e-06,1.94320455e-05,-4.2711431e-06,-1.58510356e-05,7.22534751e-05
20,0.080000,2.52608902e-06,-7.64422111e-06,1.91767285e-05,-4.27110081e-06,-1.58473031e-05,7.22485929e-05,2.56550447e-06,-7.66100766e-06,1.91922172e-05,-4.26896213e-06,-1.58469684e-05,7.224828e-05
21,0.084000,2.56535941e-06,-7.54221264e-06,1.89317379e-05,-4.27068198e-06,-1.58436214e-05,7.22437107e-05,2.59308126e-06,-7.55988322e-06,1.89435414e-05,-4.26507859e-06,-1.58444345e-05,7.2243427e-05
22,0.088000,2.59168269e-06,-7.44231693e-06,1.86825273e-05,-4.26179895e-06,-1.58403855e-05,7.2238734e-05,2.57364582e-06,-7.47598187e-06,1.87037222e-05,-4.26737915e-06,-1.58370658e-05,7.22384939e-05
23,0.092000,2.55587815e-06,-7.35692538e-06,1.84568653e-05,-4.26831548e-06,-1.58353851e-05,7.22343175e-05,2.56643762e-06,-7.37399296e-06,1.84847559e-05,-4.26908946e-06,-1.58341954e-05,7.22341938e-05
24,0.096000,2.58326327e-06,-7.27461884e-06,1.82398053e-05,-4.2636525e-06,-1.58342245e-05,7.22305631e-05,2.57098804e-06,-7.27532642e-06,1.82492513e-05,-4.26591441e-06,-1.58342227e-05,7.22295154e-05
25,0.100000,2.54309066e-06,-7.16429804e-06,1.80070801e-05,-4.26586439e-06,-1.58294715e-05,7.22260156e-05,2.56710473e-06,-7.16265367e-06,1.8020779e-05,-4.26431461e-06,-1.58300027e-05,7.22249752e-05
26,0.104000,2.58128284e-06,-7.09838605e-06,1.77805705e-05,-4.27040641e-06,-1.58246403e-05,7.22207114e-05,2.53844837e-06,-7.07830259e-06,1.77963939e-05,-4.26916313e-06,-1.58287148e-05,7.22214609e-05
27,0.108000,2.55572922e-06,-6.98944586e-06,1.75640453e-05,-4.26241968e-06,-1.58224866e-05,7.22160403e-05,2.55179884e-06,-6.97084215e-06,1.75846599e-05,-4.27038594e-06,-1.58230887e-05,7.2216164e-05
28,0.112000,2.5250306e-06,-6.88092859e-06,1.73678091e-05,-4.26602173e-06,-1.58214916e-05,7.22119585e-05,2.54153633e-06,-6.88022374e-06,1.73623048e-05,-4.26804399e-06,-1.58166113e-05,7.22116602e-05
29,0.116000,2.58432851e-06,-6.79230561e-06,1.71357824e-05,-4.26375937e-06,-1.5813599e-05,7.2207411e-05,2.56381054e-06,-6.78320157e-06,1.71467364e-05,-4.26961014e-06,-1.58194889e-05,7.22078476e-05
30,0.120000,2.56040062e-06,-6.67919812e-06,1.69097366e-05,-4.26738279e-06,-1.58126677e-05,7.22034747e-05,2.57504416e-06,-6.70483678e-06,1.69005471e-05,-4.2636716e-06,-1.58123821e-05,7.22041514e-05
31,0.124000,-0.00695034955,0.127118647,0.0572374091,0.00238858163,0.0108853318,0.00120526925,2.56883959e-06,-6.61081958e-06,1.66813134e-05,-4.27115947e-06,-1.58127968e-05,7.21996985e-05
32,0.128000,-0.00759648066,0.125176519,0.0639156997,0.00239081681,0.0109433066,0.00120545551,2.54694123e-06,-6.51895152e-06,1.64731828e-05,-4.26765246e-06,-1.58092589e-05,7.21958495e-05
33,0.132000,-0.00777016627,0.123842187,0.0687516779,0.00239440054,0.0109656788,0.00120553747,2.58621412e-06,-6.43440308e-06,1.62575088e-05,-4.26701854e-06,-1.58061648e-05,7.21920951e-05
34,0.136000,-0.00787198171,0.123014793,0.0722972006,0.00239886343,0.0109872576,0.0012056008,2.56034923e-06,-6.35495644e-06,1.60519776e-05,-4.2685906e-06,-1.58026323e-05,7.2189272e-05
35,0.140000,-0.00794240087,0.122548714,0.0749184489,0.0024035722,0.0110082868,0.0012056753,2.5511672e-06,-6.27047666e-06,1.58476378e-05,-4.2693855e-06,-1.58019666e-05,7.21855831e-05
36,0.144000,-0.00799798779,0.122339316,0.0768770128,0.00240836293,0.0110289231,0.00120573863,2.52765449e-06,-6.16750276e-06,1.5659647e-05,-4.27036275e-06,-1.57974719e-05,7.21821052e-05
37,0.148000,-0.00804608408,0.122310974,0.0783597603,0.0024131462,0.0110491365,0.00120578334,2.51328402e-06,-6.0962293e-06,1.54524387e-05,-4.26983161e-06,-1.57972172e-05,7.21795077e-05
38,0.152000,-0.00808993261,0.122409873,0.079500556,0.00241786242,0.0110688694,0.00120581314,2.59004628e-06,-5.99859686e-06,1.52505199e-05,-4.27156147e-06,-1.57920767e-05,7.21757824e-05
39,0.156000,-0.00813182816,0.122597411,0.0803951174,0.00242249668,0.0110881943,0.00120588392,2.56416297e-06,-5.91273829e-06,1.50495689e-05,-4.27127361e-06,-1.57881132e-05,7.21714023e-05
40,0.160000,-0.00817312673,0.122845933,0.081111908,0.00242698938,0.0111070313,0.0012059249,1.9807303e-06,-5.798448e-06,1.48782183e-05,-4.28225576e-06,-1.57819177e-05,7.21683173e-05
41,0.164000,-0.00821384229,0.123135909,0.0817000419,0.00243142247,0.0111253867,0.0012059696,1.27019621e-06,-5.69573149e-06,1.46801103e-05,-4.29101556e-06,-1.57574177e-05,7.2165094e-05
42,0.168000,-0.00825414807,0.123453051,0.0821945295,0.00243570656,0.0111432318,0.00120603293,7.59739578e-07,-5.58106058e-06,1.44918513e-05,-4.29241481e-06,-1.57289269e-05,7.21620236e-05
