step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
1,0.004000,-0.0150108896,0.48840481,0.253900439,-0.0936896056,0.0133193331,0.130224824,2.63684774e-06,-9.88836382e-06,2.42935348e-05,-4.25453845e-06,-1.59208776e-05,7.23648191e-05
2,0.008000,-0.0175522063,0.479930401,0.277096689,-0.090304479,0.0144686932,0.130583614,2.59562466e-06,-9.71064037e-06,2.39438341e-05,-4.25982671e-06,-1.5915115e-05,7.23579142e-05
3,0.012000,-0.0181422587,0.47349894,0.293911636,-0.0878964812,0.0149826836,0.130690634,2.61458899e-06,-9.57084376e-06,2.36187534e-05,-4.25966255e-06,-1.59136816e-05,7.23504418e-05
4,0.016000,-0.0184621066,0.468878686,0.306228667,-0.0863186568,0.015160054,0.130892009,2.57674674e-06,-9.44384192e-06,2.33088849e-05,-4.25896042e-06,-1.59110168e-05,7.23427729e-05
5,0.020000,-0.0186381601,0.465587765,0.315261215,-0.0853449255,0.015116496,0.131188869,2.61514515e-06,-9.305204e-06,2.30400256e-05,-4.25874077e-06,-1.59054653e-05,7.23358971e-05
6,0.024000,-0.0187657718,0.463261783,0.321892858,-0.084803611,0.0150748501,0.131463856,2.65922108e-06,-9.2064638e-06,2.27333458e-05,-4.26387851e-06,-1.59003703e-05,7.23280245e-05
7,0.028000,-0.0188723821,0.461637855,0.326771766,-0.08457762,0.0150344465,0.131722927,2.56843759e-06,-9.07866161e-06,2.24783817e-05,-4.25546978e-06,-1.58942676e-05,7.23225894e-05
8,0.032000,-0.0189688057,0.460524321,0.330370754,-0.0845790803,0.0149949929,0.131969482,2.62067033e-06,-8.9524583e-06,2.21909631e-05,-4.25839153e-06,-1.58892472e-05,7.2314564e-05
9,0.036000,-0.019059347,0.459780842,0.333035588,-0.0847447962,0.0149562238,0.132205993,2.52493965e-06,-8.82968379e-06,2.19258745e-05,-4.26202314e-06,-1.58847579e-05,7.23089834e-05
10,0.040000,-0.019147031,0.459304184,0.335018516,-0.0850284249,0.0149178831,0.132434085,2.63922288e-06,-8.74563193e-06,2.16647459e-05,-4.2621773e-06,-1.58874282e-05,7.23037083e-05
11,0.044000,-0.0192333981,0.459020346,0.336504251,-0.0853962898,0.01487986,0.132655025,2.62622689e-06,-8.6163509e-06,2.14213542e-05,-4.26206543e-06,-1.58790244e-05,7.22974728e-05
12,0.048000,-0.0193186663,0.458874226,0.337626964,-0.0858240128,0.0148420781,0.132869959,2.60255797e-06,-8.52358698e-06,2.11537354e-05,-4.26141696e-06,-1.58749772e-05,7.22912228e-05
13,0.052000,-0.0194028579,0.458826303,0.338484764,-0.0862929225,0.0148044657,0.133079499,2.60895263e-06,-8.41265864e-06,2.09117879e-05,-4.26096722e-06,-1.58674829e-05,7.22856421e-05
14,0.056000,-0.0194859859,0.458848327,0.339149326,-0.0867898464,0.0147669585,0.133284301,2.59554781e-06,-8.30507452e-06,2.06617915e-05,-4.2609945e-06,-1.58674393e-05,7.22802506e-05
15,0.060000,-0.0195681024,0.458919197,0.339672804,-0.0873056501,0.0147294477,0.133484393,2.57932993e-06,-8.19700563e-06,2.03999261e-05,-4.25824646e-06,-1.58653093e-05,7.22744735e-05
16,0.064000,-0.0847722441,2.4731257,1.60808241,-1.44535172,0.0281085987,1.25388527,2.55667169e-06,-8.07398919e-06,2.01575422e-05,-4.26592987e-06,-1.58596013e-05,7.22694167e-05
17,0.068000,-0.101727076,2.82523108,1.83513892,-1.44662809,0.0336458459,1.25288641,2.57938177e-06,-7.96732274e-06,1.99156038e-05,-4.25961343e-06,-1.58545372e-05,7.22641198e-05
18,0.072000,-0.110209361,2.83043361,1.94477177,-1.44893694,0.0390007794,1.25000763,2.58562272e-06,-7.86612873e-06,1.96698293e-05,-4.26024008e-06,-1.58535313e-05,7.22588229e-05
19,0.076000,-0.115599185,2.8409369,2.05618286,-1.4513936,0.0415607318,1.24818063,2.5870188e-06,-7.76320485e-06,1.94320455e-05,-4.2711431e-06,-1.58510356e-05,7.22534751e-05
20,0.080000,-0.118349262,2.88383079,2.18641472,-1.47515285,0.0432678908,1.2453897,2.56550447e-06,-7.66100766e-06,1.91922172e-05,-4.26896213e-06,-1.58469684e-05,7.224828e-05
21,0.084000,-0.119581647,2.87792826,2.26776123,-1.48406982,0.0431509987,1.24516225,2.59308126e-06,-7.55988322e-06,1.89435414e-05,-4.26507859e-06,-1.58444345e-05,7.2243427e-05
22,0.088000,-0.120494604,2.85839057,2.31479764,-1.4766798,0.0432565361,1.24551737,2.57364582e-06,-7.47598187e-06,1.87037222e-05,-4.26737915e-06,-1.58370658e-05,7.22384939e-05
23,0.092000,-0.121166214,2.84430099,2.34823132,-1.47186112,0.0431467667,1.24587977,2.56643762e-06,-7.37399296e-06,1.84847559e-05,-4.26908946e-06,-1.58341954e-05,7.22341938e-05
24,0.096000,-0.12172085,2.83414912,2.37185931,-1.46890247,0.0429185629,1.24623036,2.57098804e-06,-7.27532642e-06,1.82492513e-05,-4.26591441e-06,-1.58342227e-05,7.22295154e-05
25,0.100000,-0.122223221,2.82682705,2.38843083,-1.46726406,0.0426281095,1.24655807,2.56710473e-06,-7.16265367e-06,1.8020779e-05,-4.26431461e-06,-1.58300027e-05,7.22249752e-05
26,0.104000,-0.122704968,2.82152724,2.39994001,-1.46655643,0.0423108563,1.24685597,2.53844837e-06,-7.07830259e-06,1.77963939e-05,-4.26916313e-06,-1.58287148e-05,7.22214609e-05
27,0.108000,-0.12307176,2.81767368,2.40783215,-1.46649647,0.0419743508,1.247136,2.55179884e-06,-6.97084215e-06,1.75846599e-05,-4.27038594e-06,-1.58230887e-05,7.2216164e-05
28,0.112000,-0.12348406,2.81485462,2.41314673,-1.46688855,0.0416448675,1.24737906,2.54153633e-06,-6.88022374e-06,1.73623048e-05,-4.26804399e-06,-1.58166113e-05,7.22116602e-05
29,0.116000,-0.123966612,2.81277633,2.41662908,-1.46758521,0.0413426347,1.24759054,2.56381054e-06,-6.78320157e-06,1.71467364e-05,-4.26961014e-06,-1.58194889e-05,7.22078476e-05
30,0.120000,-0.12447352,2.81123042,2.41881537,-1.46848428,0.0410534926,1.24778163,2.57504416e-06,-6.70483678e-06,1.69005471e-05,-4.2636716e-06,-1.58123821e-05,7.22041514e-05
31,0.124000,-0.199510261,4.45250368,3.54052544,-2.67878509,0.042606391,2.29823875,2.56883959e-06,-6.61081958e-06,1.66813134e-05,-4.27115947e-06,-1.58127968e-05,7.21996985e-05
32,0.128000,-0.221663594,4.90322208,3.81387424,-2.68435812,0.0483674407,2.29796004,2.54694123e-06,-6.51895152e-06,1.64731828e-05,-4.26765246e-06,-1.58092589e-05,7.21958495e-05
33,0.132000,-0.232070535,4.9152689,3.92817116,-2.68656993,0.0560484678,2.29336905,2.58621412e-06,-6.43440308e-06,1.62575088e-05,-4.26701854e-06,-1.58061648e-05,7.21920951e-05
34,0.136000,-0.236952856,4.94726324,4.05449677,-2.70200992,0.0589295477,2.29046583,2.56034923e-06,-6.35495644e-06,1.60519776e-05,-4.2685906e-06,-1.58026323e-05,7.2189272e-05
35,0.140000,-0.2397376,4.94808483,4.14371252,-2.72082686,0.0599620491,2.28950047,2.5511672e-06,-6.27047666e-06,1.58476378e-05,-4.2693855e-06,-1.58019666e-05,7.21855831e-05
36,0.144000,-0.241449848,4.93012953,4.1897769,-2.71308303,0.05920114,2.2902379,2.52765449e-06,-6.16750276e-06,1.5659647e-05,-4.27036275e-06,-1.57974719e-05,7.21821052e-05
37,0.148000,-0.242316216,4.91762304,4.22126007,-2.70842242,0.0582931377,2.29103088,2.51328402e-06,-6.0962293e-06,1.54524387e-05,-4.26983161e-06,-1.57972172e-05,7.21795077e-05
38,0.152000,-0.242950425,4.90899134,4.24261618,-2.70587015,0.0572555177,2.2919302,2.59004628e-06,-5.99859686e-06,1.52505199e-05,-4.27156147e-06,-1.57920767e-05,7.21757824e-05
39,0.156000,-0.243530571,4.90304708,4.25695848,-2.70481014,0.0565850884,2.29258585,2.56416297e-06,-5.91273829e-06,1.50495689e-05,-4.27127361e-06,-1.57881132e-05,7.21714023e-05
40,0.160000,-0.244010463,4.89897776,4.26644802,-2.70473027,0.0559674725,2.29322505,1.9807303e-06,-5.798448e-06,1.48782183e-05,-4.28225576e-06,-1.57819177e-05,7.21683173e-05
41,0.164000,-0.244247988,4.89621735,4.27260923,-2.70527649,0.0552453026,2.29394031,1.27019621e-06,-5.69573149e-06,1.46801103e-05,-4.29101556e-06,-1.57574177e-05,7.2165094e-05
42,0.168000,-0.24447538,4.8943572,4.27649307,-2.70629573,0.0547897965,2.29449034,7.59739578e-07,-5.58106058e-06,1.44918513e-05,-4.29241481e-06,-1.57289269e-05,7.21620236e-05
43,0.172000,-0.244893521,4.89313745,4.27879238,-2.70760965,0.0544415042,2.29500151,3.55119482e-07,-5.47339596e-06,1.43218085e-05,-4.29802913e-06,-1.56991555e-05,7.21585748e-05
44,0.176000,-0.245347351,4.89236355,4.28001118,-2.70910263,0.0541605502,2.2954874,6.75074716e-08,-5.38006771e-06,1.41187566e-05,-4.29316697e-06,-1.566428e-05,7.21561009e-05
45,0.180000,-0.245804757,4.89190102,4.28049946,-2.71070409,0.0539378524,2.29594827,-2.93844323e-07,-5.27856719e-06,1.39418471e-05,-4.29357897e-06,-1.56401493e-05,7.2152543e-05
46,0.184000,-0.27600193,6.04971266,5.14213896,-3.4868896,0.0317902043,2.89822888,-4.53783514e-07,-5.19150035e-06,1.37596453e-05,-4.29369311e-06,-1.56076858e-05,7.21502292e-05
47,0.188000,-0.283669859,6.29866314,5.36572933,-3.5284493,0.0402261764,2.89747334,-4.07311973e-07,-5.11409962e-06,1.35572736e-05,-4.29280044e-06,-1.55759571e-05,7.21479519e-05
48,0.192000,-0.290450692,6.28347254,5.42076254,-3.51712179,0.040347822,2.89845896,-2.58937916e-07,-5.0370345e-06,1.33591375e-05,-4.27597706e-06,-1.55427697e-05,7.2144896e-05
49,0.196000,-0.293248355,6.2694025,5.45646811,-3.5115447,0.0396423638,2.89956975,-1.6281183e-07,-4.94724645e-06,1.31886391e-05,-4.27249461e-06,-1.55127145e-05,7.21405522e-05
50,0.200000,-0.293818057,6.25989866,5.48039675,-3.50846982,0.0379094332,2.90155387,-1.53338533e-07,-4.89173226e-06,1.29966684e-05,-4.2655829e-06,-1.5483658e-05,7.21380493e-05
51,0.204000,-0.294064581,6.25354576,5.49639463,-3.50746775,0.0373234674,2.90283275,-2.70702458e-07,-4.81216557e-06,1.28252759e-05,-4.25934468e-06,-1.54525223e-05,7.21353863e-05
52,0.208000,-0.294360727,6.2493825,5.50698614,-3.50773191,0.0370247513,2.90404344,-4.32590923e-07,-4.73036471e-06,1.2670298e-05,-4.26165934e-06,-1.54185127e-05,7.21320612e-05
53,0.212000,-0.294213504,6.24675989,5.51398182,-3.50862145,0.0361760519,2.90570927,-6.46379476e-07,-4.64542154e-06,1.24753888e-05,-4.25762209e-06,-1.53842248e-05,7.21298275e-05
